timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1639410130555,8,Request,200,OK,TG 1-1,text,true,,102714,124,1,1,http://192.168.56.103/100k.txt,4,0,2
1639410130595,6,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410130635,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410130675,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410130715,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410130756,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410130795,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410130835,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,2,0,0
1639410130875,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,2,0,0
1639410130915,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410130955,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410130995,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131035,6,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131075,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131115,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131155,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131195,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131234,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,2,0,0
1639410131275,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131314,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131354,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131394,5,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131434,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,2,0,0
1639410131474,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131514,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131554,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131593,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,2,0,0
1639410131635,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131674,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131713,4,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131753,3,Request,200,OK,TG 1-1,text,true,,102713,124,1,1,http://192.168.56.103/100k.txt,1,0,0
1639410131761,5,Request,200,OK,TG 1-2,text,true,,102714,124,2,2,http://192.168.56.103/100k.txt,2,0,1
1639410131793,4,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410131840,4,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410131873,6,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410131920,4,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410131953,4,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410132001,3,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410132033,4,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410132080,4,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410132114,4,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410132161,4,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410132193,5,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410132241,4,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,2,0,0
1639410132273,4,Request,200,OK,TG 1-1,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,1,0,0
1639410132320,5,Request,200,OK,TG 1-2,text,true,,102713,124,2,2,http://192.168.56.103/100k.txt,2,0,0
