 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3447156  45944 987156    0    0     0     0 8013  699  3 73 24  0  0
 0  0      0 3443732  45944 987156    0    0     0     0 6414  633  4 65 31  0  0
 1  0      0 3444532  45944 987156    0    0     0     0 6380  658  6 66 29  0  0
 0  0      0 3447156  45952 987160    0    0     0    12 9291  704  3 67 29  1  0
 2  0      0 3435428  45952 987160    0    0     0     0 9900  776  3 87 10  0  0
 2  0      0 3438044  45952 987164    0    0     0    56 9036  770  2 82 15  0  0
 6  0      0 3432540  45952 987164    0    0     0     0 6817  706  7 67 26  0  0
 2  0      0 3439052  45952 987168    0    0     0     0 9889  833  5 86  9  0  0
 0  0      0 3447156  45960 987168    0    0     0    20 8746  790  7 75 18  0  0
 0  0      0 3442996  45960 987168    0    0     0     0 6707  666  3 65 32  0  0
 0  0      0 3447156  45960 987172    0    0     0     0 7525  631  4 66 30  0  0
 1  0      0 3438788  45960 987172    0    0     0     0 8259  685  3 73 23  0  0
 0  0      0 3447156  45960 987176    0    0     0     0 7090  633  3 63 34  0  0
 0  0      0 3447156  45968 987176    0    0     0    12 6385  630  4 63 33  0  0
 2  0      0 3445812  45968 987180    0    0     0     0 6593  629  4 57 39  0  0
 1  0      0 3443540  45968 987180    0    0     0     0 9294  653  1 83 16  0  0
 0  0      0 3447156  45968 987180    0    0     0     0 9197  664  3 74 23  0  0
 1  0      0 3432564  45968 987188    0    0     0     0 7980  773  5 76 18  0  0
 3  0      0 3438092  45976 987188    0    0     0    12 9517  788  4 87  9  0  0
 2  0      0 3443636  45976 987192    0    0     0     0 9026  637  3 74 23  0  0
 1  0      0 3445140  45976 987192    0    0     0     0 6479  630  2 63 34  0  0
 0  0      0 3446868  45976 987196    0    0     0     0 7664  658  3 74 23  0  0
 1  0      0 3439764  45976 987196    0    0     0     0 8425  694  3 73 24  0  0
 1  0      0 3440180  45984 987196    0    0     0    12 9616  745  4 82 11  3  0
 1  0      0 3442676  45984 987200    0    0     0     0 10099  748  3 85 12  0  0
 1  0      0 3445524  45984 987200    0    0     0     0 7557  707  3 70 27  0  0
 2  0      0 3437868  45984 987204    0    0     0     0 7683  743  3 72 25  0  0
 3  0      0 3443796  45984 987204    0    0     0     0 10066  833  3 90  7  0  0
 1  0      0 3444660  45992 987208    0    0     0    12 7627  717  5 68 26  1  0
 2  0      0 3440788  45992 987208    0    0     0     0 8523  634  2 74 24  0  0
 1  0      0 3444692  45992 987208    0    0     0     0 8435  690  6 71 23  0  0
 2  0      0 3441812  45992 987212    0    0     0     0 7047  681  4 73 23  0  0
 1  0      0 3443668  45992 987212    0    0     0     0 9751  716  3 84 13  0  0
 1  0      0 3442868  46000 987216    0    0     0    12 6549  654  4 61 33  1  0
 3  0      0 3442804  46000 987216    0    0     0     0 7208  606  6 68 27  0  0
 0  0      0 3449072  46000 987112    0    0     0     0 8933  808  4 77 19  0  0
 1  0      0 3443216  46000 987112    0    0     0    56 6113  640  4 67 29  0  0
 2  0      0 3442256  46000 987112    0    0     0     0 8500  659  4 72 24  0  0
 1  0      0 3436728  46008 987116    0    0     0    32 8964  866  3 82 15  0  0
 1  0      0 3444368  46008 987116    0    0     0     0 6655  708  6 64 30  0  0
 1  0      0 3442064  46008 987120    0    0     0     0 7395  644  3 66 31  0  0
 1  0      0 3448176  46008 987120    0    0     0    20 9136  667  6 76 18  0  0
 3  0      0 3442992  46008 987120    0    0     0     0 7462  648  3 64 33  0  0
 0  0      0 3439568  46016 987124    0    0     0    12 8449  679  5 73 22  0  0
 2  0      0 3444496  46016 987124    0    0     0     0 9766  776  9 82 10  0  0
 1  0      0 3444360  46016 987128    0    0     0     0 8170  722  5 74 21  0  0
 1  0      0 3446872  46016 987128    0    0     0     0 8090  605  3 61 36  0  0
 0  0      0 3443600  46016 987132    0    0     0     0 7017  680  2 70 28  0  0
 1  0      0 3447152  46024 987132    0    0     0    16 10051  823  4 85 10  1  0
 2  0      0 3448392  46024 987132    0    0     0     0 7590  600  2 69 29  0  0
 2  0      0 3444576  46024 987136    0    0     0     0 9723  823  3 89  8  0  0
 1  0      0 3444728  46024 987136    0    0     0     0 8557  823  4 87  9  0  0
 0  0      0 3449104  46024 987140    0    0     0     0 7749  632  2 71 27  0  0
 1  0      0 3434296  46032 987132    0    0     0    12 7855  779  2 78 20  0  0
 1  0      0 3445232  46032 987144    0    0     0     0 7093  693  4 74 22  0  0
 1  0      0 3442096  46032 987144    0    0     0     0 10399  776  6 84  9  0  0
 1  0      0 3441904  46032 987144    0    0     0     0 7463  690  2 80 18  0  0
 1  0      0 3444992  46032 987148    0    0     0     0 7940  770  4 82 13  0  0
 1  0      0 3442448  46040 987140    0    0     0    12 7037  728  2 76 22  0  0
 1  0      0 3442448  46040 987152    0    0     0     0 5754  621  6 61 33  0  0
 1  0      0 3447920  46040 987152    0    0     0     0 7988  835  2 86 12  0  0
 1  0      0 3448624  46040 987156    0    0     0     0 6274  763  3 71 26  0  0
 0  0      0 3440732  46040 996016    0    0  8892     0 4414  588  3 51 26 20  0
 0  0      0 3440480  46048 996064    0    0     0    16 4149  565  4 52 42  2  0
 2  0      0 3437312  46048 996080    0    0     0     0 5233  579  5 56 39  0  0
 0  0      0 3440480  46048 996080    0    0     0     0 2342  440  2 31 67  0  0
 0  0      0 3440512  46048 996084    0    0     0   232 3644  565  3 48 48  0  0
 0  0      0 3440512  46048 996084    0    0     0     0 3336  480  2 41 57  0  0
 0  0      0 3440480  46056 996076    0    0     0    28 3936  528  4 51 45  0  0
