r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
 0,0,0,1344436,49824,985772,0,0,0,12,1258,411,8,22,70,0,0

 0,0,0,1344436,49824,985780,0,0,0,24,1315,379,5,18,77,0,0

 0,0,0,1344436,49824,985784,0,0,0,0,1466,408,8,19,73,0,0

 0,0,0,1344436,49824,985784,0,0,0,0,1740,453,6,28,66,0,0

 3,0,0,1344244,49824,985788,0,0,0,0,1674,458,6,24,69,0,0

 1,0,0,1344116,49832,985780,0,0,0,76,1821,624,7,31,62,0,0

 0,0,0,1344404,49832,985788,0,0,0,0,1178,357,6,13,81,0,0

 0,0,0,1344436,49832,985792,0,0,0,0,1560,409,6,23,70,0,0

 0,0,0,1344436,49832,985792,0,0,0,0,1513,403,9,19,72,0,0

 0,0,0,1344436,49832,985796,0,0,0,0,1330,411,6,17,77,0,0

 0,0,0,1344436,49840,985788,0,0,0,12,1409,441,5,29,66,0,0

 0,0,0,1344436,49840,985800,0,0,0,0,1677,434,7,24,68,0,0

 0,0,0,1344404,49840,985800,0,0,0,0,1212,337,6,15,79,0,0

 0,0,0,1344436,49840,985800,0,0,0,0,1102,362,8,12,80,0,0

 0,0,0,1344436,49840,985804,0,0,0,0,1472,410,7,18,74,0,0

 0,0,0,1344436,49840,985804,0,0,0,0,1472,372,9,21,70,0,0

 0,0,0,1344436,49848,985808,0,0,0,12,1782,485,7,31,62,0,0

 1,0,0,1344180,49848,985808,0,0,0,0,1775,455,4,31,65,0,0

 0,0,0,1344436,49848,985808,0,0,0,0,1285,366,6,17,77,0,0

 0,0,0,1344436,49848,985812,0,0,0,0,1551,452,8,22,69,0,0

 2,0,0,1343668,49848,985812,0,0,0,0,1464,424,6,26,68,0,0

 3,0,0,1344244,49856,985820,0,0,0,12,1624,456,15,28,57,0,0

 0,0,0,1344436,49856,985820,0,0,0,0,1533,439,11,22,67,0,0

 0,0,0,1344436,49856,985820,0,0,0,0,1251,366,7,19,73,0,0

 0,0,0,1344436,49856,985824,0,0,0,0,1561,476,10,28,62,0,0

 0,0,0,1344404,49856,985824,0,0,0,0,1904,469,6,32,62,0,0

 0,0,0,1344436,49864,985828,0,0,0,12,1674,458,6,23,71,0,0

 1,0,0,1344308,49864,985828,0,0,0,0,1853,468,8,36,56,0,0

 0,0,0,1343924,49864,985832,0,0,0,0,1893,463,6,32,62,0,0

 1,0,0,1344404,49864,985832,0,0,0,0,1424,449,10,22,68,0,0

 0,0,0,1344436,49864,985832,0,0,0,0,1229,382,7,21,72,0,0

 0,0,0,1344436,49872,985836,0,0,0,12,1522,470,6,30,64,0,0

 1,0,0,1344308,49872,985836,0,0,0,0,1299,407,12,22,67,0,0

 0,0,0,1344404,49872,985840,0,0,0,0,1538,463,6,30,64,0,0

 0,0,0,1344436,49872,985840,0,0,0,0,1629,445,6,26,68,0,0

 0,0,0,1344436,49872,985840,0,0,0,0,1505,429,12,29,58,0,0

 1,0,0,1344372,49880,985844,0,0,0,84,1558,620,6,31,61,1,0

 3,0,0,1343988,49880,985844,0,0,0,0,1640,423,8,28,64,0,0

 3,0,0,1344436,49880,985848,0,0,0,0,1633,471,9,41,50,0,0

 0,0,0,1344436,49880,985848,0,0,0,0,1978,497,7,35,57,0,0

 0,0,0,1344436,49880,985848,0,0,0,0,1143,362,7,19,74,0,0

 1,0,0,1343988,49888,985852,0,0,0,12,1584,468,7,30,63,0,0

 0,0,0,1344436,49888,985852,0,0,0,0,1663,444,7,27,65,0,0

 1,0,0,1344436,49888,985856,0,0,0,0,1487,364,5,24,71,0,0

 1,0,0,1344404,49888,985856,0,0,0,0,1415,455,8,27,65,0,0

 0,0,0,1344436,49888,985860,0,0,0,0,1441,424,6,31,63,0,0

 1,0,0,1344244,49896,985860,0,0,0,12,1415,409,7,22,70,0,0

 2,0,0,1344436,49896,985860,0,0,0,0,1557,404,7,27,66,0,0

 0,0,0,1344436,49896,985864,0,0,0,0,1805,423,5,34,61,0,0

 0,0,0,1344436,49896,985864,0,0,0,0,1706,491,8,38,54,0,0

 0,0,0,1344436,49896,985868,0,0,0,0,1083,335,7,14,79,0,0

 0,0,0,1344436,49904,985860,0,0,0,12,1551,405,4,30,66,0,0

 4,0,0,1343412,49904,985868,0,0,0,0,1560,449,9,25,67,0,0

 1,0,0,1343288,49904,986448,0,0,568,0,1778,493,8,34,58,0,0

 0,0,0,1343672,49904,986448,0,0,0,0,2367,550,6,43,51,0,0

 0,0,0,1343672,49904,986452,0,0,0,0,2146,523,8,36,56,0,0

 0,0,0,1343672,49912,986444,0,0,0,16,2313,480,5,38,57,0,0

 2,0,0,1343416,49912,986452,0,0,0,0,2179,504,9,36,55,0,0

 0,0,0,1343672,49912,986456,0,0,0,0,2384,539,7,37,56,0,0

 0,0,0,1343672,49912,986456,0,0,0,0,2193,527,6,36,58,0,0

 0,0,0,1343352,49912,986460,0,0,0,0,2499,578,10,47,43,0,0

 0,0,0,1343672,49920,986452,0,0,0,12,2182,528,5,38,57,0,0

 0,0,0,1343672,49920,986464,0,0,0,0,2185,479,8,36,56,0,0

 0,0,0,1343000,49920,986464,0,0,0,0,1994,458,8,34,58,0,0

 0,0,0,1343640,49920,986464,0,0,0,0,2150,452,7,32,61,0,0

 0,0,0,1343640,49920,986468,0,0,0,0,2180,483,6,40,54,0,0

 1,0,0,1342968,49928,986460,0,0,0,12,1965,688,10,33,54,3,0

 0,0,0,1343672,49928,986476,0,0,0,52,2325,489,6,36,58,0,0

 0,0,0,1343672,49928,986476,0,0,0,0,2160,508,10,41,49,0,0

 0,0,0,1343672,49928,986476,0,0,0,0,2191,539,10,39,51,0,0

 0,0,0,1343672,49928,986480,0,0,0,0,1890,484,9,35,56,0,0

 0,0,0,1343640,49936,986472,0,0,0,20,2010,492,7,33,60,0,0

 3,0,0,1343032,49936,986484,0,0,0,0,2070,476,6,34,60,0,0

 1,0,0,1343000,49936,986484,0,0,0,0,1935,442,9,30,61,0,0

 0,0,0,1343672,49936,986484,0,0,0,0,2398,538,8,43,49,0,0

 0,0,0,1343672,49936,986488,0,0,0,0,2409,510,7,43,49,0,0

 0,0,0,1343672,49936,986488,0,0,0,0,1706,443,10,27,64,0,0

 2,0,0,1343288,49944,986492,0,0,0,24,2004,500,6,33,61,0,0

 2,0,0,1343000,49944,986492,0,0,0,0,2032,465,7,34,59,0,0

 2,0,0,1343032,49944,986492,0,0,0,0,2276,553,12,41,47,0,0

 2,0,0,1343320,49944,986496,0,0,0,0,2215,534,7,39,53,0,0

 0,0,0,1343672,49944,986496,0,0,0,0,2072,514,10,37,53,0,0

 0,0,0,1343672,49952,986500,0,0,0,12,2064,532,11,41,48,0,0

 0,0,0,1343672,49952,986500,0,0,0,0,2176,488,5,38,56,0,0

 0,0,0,1343672,49952,986504,0,0,0,0,2255,574,10,47,43,0,0

 3,0,0,1343096,49952,986504,0,0,0,0,1994,449,8,37,55,0,0

 3,0,0,1342936,49952,986504,0,0,0,0,2193,485,8,43,49,0,0

 1,0,0,1343320,49960,986508,0,0,0,12,2155,502,11,36,53,0,0

 2,0,0,1342776,49960,986508,0,0,0,0,2231,502,6,37,57,0,0

 0,0,0,1343672,49960,986512,0,0,0,0,2323,534,9,47,44,0,0

 0,0,0,1343672,49960,986512,0,0,0,0,2012,476,10,38,52,0,0

 0,0,0,1343672,49960,986512,0,0,0,0,2342,504,6,40,54,0,0

 0,0,0,1343672,49968,986516,0,0,0,12,2000,539,12,37,51,0,0

 2,0,0,1343096,49968,986516,0,0,0,0,1853,483,8,29,63,0,0

 0,0,0,1343672,49968,986520,0,0,0,0,1931,460,9,34,57,0,0

 0,0,0,1343672,49968,986520,0,0,0,0,1977,491,6,38,56,0,0

 3,0,0,1342840,49968,986524,0,0,0,0,1859,670,9,33,59,0,0

 2,0,0,1343164,49980,986520,0,0,0,68,1862,468,7,38,56,0,0

 1,0,0,1343356,49980,986524,0,0,0,0,1849,482,6,35,59,0,0

 1,0,0,1343036,49992,986516,0,0,0,40,1780,529,11,33,56,0,0

 0,0,0,1343388,49992,986528,0,0,0,0,1960,434,6,37,57,0,0

 0,0,0,1343420,49992,986532,0,0,0,0,2380,598,11,49,40,0,0

 0,0,0,1343388,49992,986532,0,0,0,0,1785,438,8,31,62,0,0

 2,0,0,1342396,49992,986532,0,0,0,0,1858,517,7,36,58,0,0

 2,0,0,1342972,50000,986528,0,0,0,12,1948,560,11,41,48,0,0

 0,0,0,1343388,50000,986536,0,0,0,0,1823,493,8,39,53,0,0

 4,0,0,1342588,50000,986540,0,0,0,0,2007,531,11,43,46,0,0

 0,0,0,1343388,50000,986540,0,0,0,0,2000,509,8,45,47,0,0

 0,0,0,1343420,50000,986540,0,0,0,0,1697,439,6,30,63,0,0

 2,0,0,1341564,50000,986544,0,0,0,0,1771,532,10,40,49,0,0

 2,0,0,1343388,50008,986544,0,0,0,12,2036,480,9,44,47,0,0

 0,0,0,1343388,50008,986548,0,0,0,0,1806,451,9,36,56,0,0

 4,0,0,1342204,50008,986548,0,0,0,0,2333,581,11,51,38,0,0

 0,0,0,1343420,50008,986548,0,0,0,0,1801,466,9,41,49,0,0

 4,0,0,1341948,50008,986556,0,0,0,0,1555,494,9,34,57,0,0

 2,0,0,1341628,50016,986556,0,0,0,12,1767,518,9,43,48,0,0

 3,0,0,1342716,50016,986560,0,0,0,0,1992,489,7,44,49,0,0

 4,0,0,1341436,50016,986560,0,0,0,0,2027,511,8,41,51,0,0

 3,0,0,1341948,50016,986564,0,0,0,0,1912,532,10,45,44,0,0

 4,0,0,1343164,50024,986556,0,0,0,12,2017,487,14,41,45,0,0

 3,0,0,1342204,50024,986564,0,0,0,0,1762,465,6,35,58,0,0

 4,0,0,1342652,50024,986568,0,0,0,0,1786,464,13,32,55,0,0

 5,0,0,1342204,50024,986568,0,0,0,0,1519,425,4,31,65,0,0

 8,0,0,1341532,50024,986572,0,0,0,0,1807,488,9,36,55,0,0

 6,0,0,1342332,50032,986564,0,0,0,12,1737,453,7,40,53,0,0

 0,0,0,1343388,50032,986572,0,0,0,0,2201,497,9,43,48,0,0

 0,0,0,1343388,50032,986576,0,0,0,0,1970,687,13,45,42,0,0

 6,0,0,1342588,50032,986576,0,0,0,0,2162,532,7,47,47,0,0

 0,0,0,1343420,50032,986580,0,0,0,56,1671,430,12,27,60,0,0

 0,0,0,1343420,50044,986568,0,0,0,32,2165,590,14,44,41,1,0

 0,0,0,1342204,50044,986584,0,0,0,0,2147,485,8,37,55,0,0

 0,0,0,1343388,50044,986584,0,0,0,0,1667,391,8,31,61,0,0

 0,0,0,1343420,50044,986584,0,0,0,0,2114,543,16,48,36,0,0

 6,0,0,1342908,50044,986588,0,0,0,0,2060,539,6,48,47,0,0

 1,0,0,1343100,50052,986580,0,0,0,12,1751,487,7,29,63,0,0

 0,0,0,1343388,50052,986592,0,0,0,0,2199,518,7,41,52,0,0

 1,0,0,1342908,50052,986592,0,0,0,0,2163,502,9,45,46,0,0

 0,0,0,1343168,50052,986592,0,0,0,0,2013,512,9,37,55,0,0

 2,0,0,1342848,50052,986596,0,0,0,0,2144,531,10,45,45,0,0

 0,0,0,1343136,50052,986596,0,0,0,0,1735,439,6,35,59,0,0

 1,0,0,1343168,50060,986596,0,0,0,12,2137,575,12,43,45,0,0

 0,0,0,1343168,50060,986600,0,0,0,0,2247,560,14,38,48,0,0

 2,0,0,1342912,50060,986600,0,0,0,0,2424,535,6,41,53,0,0

 0,0,0,1343136,50060,986604,0,0,0,0,2020,502,11,40,49,0,0

 2,0,0,1343168,50060,986604,0,0,0,0,1848,470,5,35,59,0,0

 0,0,0,1343136,50068,986600,0,0,0,12,2221,530,12,43,45,0,0

 1,0,0,1342880,50068,986612,0,0,0,0,1974,439,8,30,62,0,0

 1,0,0,1342368,50068,986612,0,0,0,0,2237,511,12,47,41,0,0

 1,0,0,1341440,50068,986612,0,0,0,0,1821,486,9,37,55,0,0

 4,0,0,1343168,50068,986616,0,0,0,0,1908,529,10,43,48,0,0

 0,0,0,1343168,50076,986616,0,0,0,12,1885,483,8,38,54,0,0

 0,0,0,1343168,50076,986620,0,0,0,0,1526,470,11,31,59,0,0

 4,0,0,1342912,50076,986620,0,0,0,0,2078,522,12,49,39,0,0

 0,0,0,1343136,50076,986620,0,0,0,0,2004,496,8,42,51,0,0

 0,0,0,1343168,50076,986624,0,0,0,0,1620,462,7,27,65,0,0

 1,1,0,1341984,50084,986624,0,0,0,12,1824,464,5,36,59,0,0

 1,0,0,1343168,50084,986628,0,0,0,0,1889,660,13,47,39,1,0

 0,0,0,1343168,50084,986628,0,0,0,0,1874,466,7,38,55,0,0

 3,0,0,1340992,50084,986628,0,0,0,52,1669,458,6,36,57,0,0

 0,0,0,1343168,50084,986632,0,0,0,0,2197,563,15,51,34,0,0

 0,0,0,1343136,50096,986632,0,0,0,28,2266,511,8,41,52,0,0

 0,0,0,1343168,50096,986640,0,0,0,0,1845,469,9,32,59,0,0

 5,0,0,1341376,50096,986640,0,0,0,0,1674,427,7,32,62,0,0

 4,0,0,1341856,50096,986644,0,0,0,0,1996,513,9,41,51,0,0

 4,0,0,1341568,50096,986644,0,0,0,0,1764,461,12,39,49,0,0

 2,0,0,1342784,50104,986636,0,0,0,12,2131,535,10,55,35,0,0

 0,0,0,1343136,50104,986648,0,0,0,0,1974,492,9,42,49,0,0

 0,0,0,1343168,50104,986648,0,0,0,0,1717,468,10,40,51,0,0

 2,0,0,1341632,50104,986652,0,0,0,0,1857,452,5,41,53,0,0

 2,0,0,1342784,50104,986652,0,0,0,0,2202,527,10,46,44,0,0

 3,0,0,1342304,50104,986652,0,0,0,0,1657,431,11,34,54,0,0

 0,0,0,1343168,50112,986656,0,0,0,12,2170,507,8,48,44,0,0

 0,0,0,1342916,50112,986656,0,0,0,0,1884,588,9,44,47,0,0

 2,0,0,1342564,50112,986660,0,0,0,0,1961,488,8,33,59,0,0

 0,0,0,1342916,50112,986660,0,0,0,0,1708,425,8,36,57,0,0
