r;b;swpd;free;buff;cache;si;so;bi;bo;in;cs;us;sy;id;wa;st
4;0;3748;531732;59660;1757596;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;532476;59680;1757576;0;0;45;38;145;120;4;1;95;0;0
3;0;3748;532676;59684;1757572;0;0;45;38;145;120;4;1;95;0;0
3;0;3748;532476;59688;1757568;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;532692;59712;1757636;0;0;45;38;145;120;4;1;95;0;0
7;0;3748;532400;59740;1757608;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;532656;59748;1757700;0;0;45;38;145;120;4;1;95;0;0
3;0;3748;532784;59776;1757672;0;0;45;38;145;120;4;1;95;0;0
3;0;3748;532532;59800;1757648;0;0;45;38;145;120;4;1;95;0;0
5;0;3748;532404;59804;1757644;0;0;45;38;145;120;4;1;95;0;0
3;0;3748;532408;59808;1757640;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;532408;59832;1757616;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;532184;59856;1757732;0;0;45;38;145;120;4;1;95;0;0
3;0;3748;531696;59876;1757712;0;0;45;38;145;120;4;1;95;0;0
5;0;3748;532280;59880;1757708;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;532176;59900;1757788;0;0;45;38;145;120;4;1;95;0;0
2;0;3748;532176;59908;1757780;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;532184;59908;1757780;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;532208;59924;1757764;0;0;45;38;145;120;4;1;95;0;0
8;0;3748;532024;59944;1757804;0;0;45;38;145;120;4;1;95;0;0
5;0;3748;532280;59964;1757784;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;531928;59964;1757784;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;531676;59996;1757752;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;531924;60012;1757736;0;0;45;38;145;120;4;1;95;0;0
5;0;3748;531988;60016;1757764;0;0;45;38;145;120;4;1;95;0;0
3;0;3748;531988;60028;1757852;0;0;45;38;145;120;4;1;95;0;0
5;0;3748;531508;60028;1757892;0;0;45;38;145;120;4;1;95;0;0
4;1;3748;532020;60032;1757888;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;531696;60060;1757860;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;531392;60060;1757960;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;531672;60072;1757948;0;0;45;38;145;120;4;1;95;0;0
9;0;3748;531360;60076;1757944;0;0;45;38;145;120;4;1;95;0;0
2;1;3748;531928;60104;1757972;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;531292;60120;1757956;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;531352;60120;1757956;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;531728;60144;1757932;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;531896;60160;1757916;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;531936;60180;1757996;0;0;45;38;145;120;4;1;95;0;0
3;0;3748;531676;60196;1757980;0;0;45;38;145;120;4;1;95;0;0
5;0;3748;531704;60208;1757968;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;531744;60240;1758032;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;531720;60256;1758016;0;0;45;38;145;120;4;1;95;0;0
6;0;3748;531800;60280;1757992;0;0;45;38;145;120;4;1;95;0;0
4;0;3748;531224;60296;1758076;0;0;45;38;145;120;4;1;95;0;0
